Na2Mn2Fe(VO4)3-disordered-ewald-1,1
Na2Mn2Fe(VO4)3-disordered-ewald-2,1
Na2Mn2Fe(VO4)3-disordered-ewald-3,2
Na2Mn2Fe(VO4)3-disordered-ewald-4,2
Na2Mn2Fe(VO4)3-disordered-ewald-5,3
Na2Mn2Fe(VO4)3-disordered-ewald-6,3
Na2Mn2Fe(VO4)3-disordered-ewald-7,4
Na2Mn2Fe(VO4)3-disordered-ewald-8,4
Na2Mn2Fe(VO4)3-disordered-ewald-9,4
Na2Mn2Fe(VO4)3-disordered-ewald-10,4
Na2Mn2Fe(VO4)3-disordered-ewald-11,4
Na2Mn2Fe(VO4)3-disordered-ewald-12,4
Na2Mn2Fe(VO4)3-disordered-ewald-13,4
Na2Mn2Fe(VO4)3-disordered-ewald-14,4
Na2Mn2Fe(VO4)3-disordered-ewald-15,5
Na2Mn2Fe(VO4)3-disordered-ewald-16,5
Na2Mn2Fe(VO4)3-disordered-ewald-17,5
Na2Mn2Fe(VO4)3-disordered-ewald-18,5
Na2Mn2Fe(VO4)3-disordered-ewald-19,5
Na2Mn2Fe(VO4)3-disordered-ewald-20,5
Na2Mn2Fe(VO4)3-disordered-ewald-21,5
Na2Mn2Fe(VO4)3-disordered-ewald-22,5
Na2Mn2Fe(VO4)3-disordered-ewald-23,6
Na2Mn2Fe(VO4)3-disordered-ewald-24,6
Na2Mn2Fe(VO4)3-disordered-ewald-25,7
Na2Mn2Fe(VO4)3-disordered-ewald-26,7
Na2Mn2Fe(VO4)3-disordered-ewald-27,7
Na2Mn2Fe(VO4)3-disordered-ewald-28,7
Na2Mn2Fe(VO4)3-disordered-ewald-29,7
Na2Mn2Fe(VO4)3-disordered-ewald-30,7
Na2Mn2Fe(VO4)3-disordered-ewald-31,7
Na2Mn2Fe(VO4)3-disordered-ewald-32,7
Na2Mn2Fe(VO4)3-disordered-ewald-33,8
Na2Mn2Fe(VO4)3-disordered-ewald-34,8
Na2Mn2Fe(VO4)3-disordered-ewald-35,8
Na2Mn2Fe(VO4)3-disordered-ewald-36,8
Na2Mn2Fe(VO4)3-disordered-ewald-37,8
Na2Mn2Fe(VO4)3-disordered-ewald-38,8
Na2Mn2Fe(VO4)3-disordered-ewald-39,8
Na2Mn2Fe(VO4)3-disordered-ewald-40,8
Na2Mn2Fe(VO4)3-disordered-ewald-41,9
Na2Mn2Fe(VO4)3-disordered-ewald-42,9
Na2Mn2Fe(VO4)3-disordered-ewald-43,10
Na2Mn2Fe(VO4)3-disordered-ewald-44,10
Na2Mn2Fe(VO4)3-disordered-ewald-45,10
Na2Mn2Fe(VO4)3-disordered-ewald-46,10
Na2Mn2Fe(VO4)3-disordered-ewald-47,10
Na2Mn2Fe(VO4)3-disordered-ewald-48,10
Na2Mn2Fe(VO4)3-disordered-ewald-49,10
Na2Mn2Fe(VO4)3-disordered-ewald-50,10
Na2Mn2Fe(VO4)3-disordered-ewald-51,11
Na2Mn2Fe(VO4)3-disordered-ewald-52,11
Na2Mn2Fe(VO4)3-disordered-ewald-53,11
Na2Mn2Fe(VO4)3-disordered-ewald-54,11
Na2Mn2Fe(VO4)3-disordered-ewald-55,11
Na2Mn2Fe(VO4)3-disordered-ewald-56,11
Na2Mn2Fe(VO4)3-disordered-ewald-57,11
Na2Mn2Fe(VO4)3-disordered-ewald-58,11
Na2Mn2Fe(VO4)3-disordered-ewald-59,12
Na2Mn2Fe(VO4)3-disordered-ewald-60,12
Na2Mn2Fe(VO4)3-disordered-ewald-61,12
Na2Mn2Fe(VO4)3-disordered-ewald-62,12
Na2Mn2Fe(VO4)3-disordered-ewald-63,12
Na2Mn2Fe(VO4)3-disordered-ewald-64,12
Na2Mn2Fe(VO4)3-disordered-ewald-65,12
Na2Mn2Fe(VO4)3-disordered-ewald-66,12
Na2Mn2Fe(VO4)3-disordered-ewald-67,13
Na2Mn2Fe(VO4)3-disordered-ewald-68,13
Na2Mn2Fe(VO4)3-disordered-ewald-69,14
Na2Mn2Fe(VO4)3-disordered-ewald-70,14
